n_epochs,batch_size,accuracy,time
10,100,0.9817,14.61910891532898
15,100,0.9804,22.196858882904053
15,128,0.98,19.17902898788452
7,128,0.9796,8.885792016983032
10,128,0.9794,13.895607948303223
5,128,0.9781,6.460503101348877
5,100,0.9772,8.705637216567993
7,100,0.9772,9.96966290473938
