n_epochs,batch_size,accuracy,time
15,128,0.9875,30.965518951416016
10,128,0.9871,23.12575912475586
15,100,0.9868,34.741682052612305
10,100,0.9865,23.048909902572632
7,100,0.9863,18.958198070526123
7,128,0.9862,16.098634004592896
5,100,0.9859,14.03459095954895
5,128,0.9851,13.466622829437256
